id,league_id,league,utc_time,date,time,home,away,ft_ml_h_opening,ft_ml_d_opening,ft_ml_a_opening,ft_ml_h_closing,ft_ml_d_closing,ft_ml_a_closing,ft_ah_handicap_opening,ft_ah_h_opening,ft_ah_a_opening,ft_ah_handicap_closing,ft_ah_h_closing,ft_ah_a_closing,ft_ou_handicap_opening,ft_ou_o_opening,ft_ou_u_opening,ft_ou_handicap_closing,ft_ou_o_closing,ft_ou_u_closing
7932518,328,Brazil Serie B,1721597400,2024-07-21,18:30,Botafogo SP,Brusque,1.833,3.1,5.0,2.1,2.875,4.1,-0.5,2.025,1.825,-0.25,1.825,2.025,2.0,2.025,1.825,1.75,1.825,2.025
7902792,155,Brazil Serie A,1721597400,2024-07-21,18:30,EC Juventude,Sao Paulo,3.4,3.25,2.15,3.7,3.25,2.1,0.5,1.86,2.04,0.25,2.05,1.8,2.0,1.81,2.09,2.25,2.05,1.8
7793551,182,Chile Primera B,1721597400,2024-07-21,18:30,San Luis Quillota,Santiago Morning,2.4,3.25,2.55,2.8,3.1,2.3,-0.25,2.0,1.8,0.25,1.75,2.05,2.25,1.8,2.0,2.25,1.975,1.825
7902414,155,Brazil Serie A,1721597400,2024-07-21,18:30,Fortaleza EC,Atletico GO,1.533,4.0,6.0,1.7,3.5,5.25,-0.75,1.95,1.95,-0.75,1.95,1.9,2.25,1.85,2.05,2.25,1.8,2.05
7852125,686,Chile Segunda,1721597400,2024-07-21,18:30,Deportes Linares,Real Juventud San Joaquin,2.25,3.25,2.75,2.15,3.25,2.9,-0.25,2.025,1.775,-0.25,1.925,1.875,2.5,2.075,1.725,2.25,1.9,1.9
7771169,8613,Chile Primera Division,1721597400,2024-07-21,18:30,Colo Colo,Union Espanola,1.5,4.5,5.0,1.5,4.75,5.5,-1.0,1.8,2.05,-1.0,1.775,2.025,3.0,1.975,1.875,3.0,1.95,1.85
7902519,155,Brazil Serie A,1721597400,2024-07-21,18:30,Bragantino,Athletico Paranaense,2.2,3.2,3.3,1.95,3.3,4.2,-0.5,2.07,1.83,-0.5,1.975,1.875,2.25,1.88,2.02,2.25,1.9,1.95
8533704,23596,America Friendlies,1721599200,2024-07-21,19:00,Real Espana,Xelaju,1.833,3.5,3.5,1.833,3.5,3.5,-0.5,1.875,1.925,-0.5,1.875,1.925,2.75,1.875,1.925,2.75,1.875,1.925
8533863,16730,Uruguay League Women,1721599200,2024-07-21,19:00,Boston River Women,Liverpool Montevideo Women,3.2,3.9,1.85,6.5,4.5,1.333,0.5,1.9,1.9,1.25,2.0,1.8,3.5,1.85,1.95,3.25,1.9,1.9
8527937,4225,Dominican Republic Liga,1721599200,2024-07-21,19:00,Universidad OM,Moca FC,2.2,3.1,3.0,1.909,3.3,3.5,-0.25,1.925,1.875,-0.5,1.975,1.825,2.5,2.05,1.75,2.5,2.0,1.8
7860322,29286,USA MLS Next Pro League,1721599200,2024-07-21,19:00,Inter Miami CF II,Huntsville City,1.909,4.0,3.0,1.6,4.5,3.9,-0.25,2.0,1.8,-1.0,2.0,1.8,3.25,1.85,1.95,3.5,1.95,1.85
7935256,246,Brazil Serie C,1721599200,2024-07-21,19:00,Botafogo PB,ABC,1.65,3.3,4.75,1.65,3.5,4.5,-0.75,1.925,1.875,-0.75,1.875,1.925,2.0,1.85,1.95,2.0,1.775,2.025
7860132,29286,USA MLS Next Pro League,1721599200,2024-07-21,19:00,Columbus Crew II,FC Cincinnati II,2.55,3.75,2.2,2.55,3.75,2.2,0.25,1.775,2.025,0.0,1.95,1.75,3.0,1.875,1.925,3.0,1.875,1.925
7942834,246,Brazil Serie C,1721599200,2024-07-21,19:00,Nautico,Athletic Club MG,2.5,3.0,2.625,2.2,3.0,3.2,-0.25,1.95,1.85,-0.25,1.95,1.85,2.25,1.875,1.925,2.25,1.975,1.825
8275604,2175,CONCACAF U20 Championship,1721599560,2024-07-21,19:06,Panama U20,Guatemala U20,5.25,4.333,1.444,3.4,3.8,1.833,0.75,1.8,2.0,0.5,1.95,1.85,2.75,1.8,2.0,2.75,1.8,2.0
8475759,257,Paraguay Division Profesional,1721601000,2024-07-21,19:30,Sol de America,2 de Mayo,2.6,3.1,2.55,2.7,3.0,2.5,0.0,1.9,1.9,0.0,1.975,1.825,2.5,2.0,1.8,2.25,1.825,1.975
8485398,254,Colombia Primera A,1721601900,2024-07-21,19:45,Atletico Nacional Medellin,America de Cali,2.4,3.0,3.2,2.2,3.0,3.6,-0.25,2.05,1.8,-0.25,1.875,1.975,2.25,1.975,1.875,2.25,2.05,1.8
8524091,251,Venezuela Primera Division,1721602800,2024-07-21,20:00,Deportivo Tachira,Zamora,1.666,3.5,4.333,1.48,3.75,5.5,-1.0,1.825,1.975,-1.0,1.9,1.9,2.25,1.9,1.9,2.25,1.975,1.825
8435411,34422,Peru Liga 1,1721602800,2024-07-21,20:00,Cienciano,AD Tarma,2.25,3.25,3.0,2.2,3.2,3.1,-0.25,1.975,1.875,-0.25,1.975,1.875,2.5,1.95,1.9,2.5,2.05,1.8
8335098,32373,Mexico Liga MX,1721602800,2024-07-21,20:00,Unam Pumas,Pachuca,1.833,3.5,3.75,2.0,3.8,3.5,-0.25,1.95,1.9,-0.5,2.0,1.85,2.75,2.025,1.825,2.75,1.875,1.975
7935666,246,Brazil Serie C,1721602800,2024-07-21,20:00,Sao Jose PA,Aparecidense,1.833,3.3,3.75,2.05,3.1,3.3,-0.5,1.875,1.925,-0.25,1.825,1.975,2.25,2.025,1.775,2.0,1.8,2.0
7860134,29286,USA MLS Next Pro League,1721602800,2024-07-21,20:00,Sporting Kansas City II,St Louis City II,2.3,3.75,2.4,2.15,3.75,2.55,-0.25,1.8,2.0,-0.25,2.0,1.8,3.25,1.9,1.9,3.25,1.95,1.85
7860133,29286,USA MLS Next Pro League,1721602800,2024-07-21,20:00,New York Red Bulls II,Orlando City II,1.909,4.0,2.9,1.8,4.2,3.1,-0.5,1.85,1.95,-0.5,1.85,1.95,3.5,1.8,2.0,3.5,1.8,2.0
7670125,26549,Argentina Liga Profesional,1721602800,2024-07-21,20:00,Defensa y Justicia,Boca Juniors,3.2,3.2,2.25,3.0,3.0,2.6,0.25,1.975,1.875,0.0,2.05,1.8,2.25,1.95,1.9,2.0,1.925,1.925
7670124,26549,Argentina Liga Profesional,1721602800,2024-07-21,20:00,Velez Sarsfield,CA Talleres de Cordoba,2.4,3.2,2.9,2.875,3.1,2.6,-0.25,2.025,1.825,0.0,2.05,1.8,2.25,2.05,1.8,2.0,1.975,1.875
7902363,155,Brazil Serie A,1721602800,2024-07-21,20:00,Cuiaba,Fluminense,2.25,3.25,3.2,2.4,3.0,3.2,-0.25,1.83,2.07,-0.25,2.09,1.81,2.0,1.85,2.05,2.0,2.09,1.81
8480308,261,Panama LPF,1721603700,2024-07-21,20:15,Alianza FC Panama,Sporting San Miguelito,2.15,3.0,3.2,2.625,2.9,2.55,0.0,1.95,1.85,0.0,1.95,1.85,2.0,1.85,1.95,2.0,1.85,1.95
8399059,3573,Bolivia Clausura,1721604600,2024-07-21,20:30,Oriente Petrolero,Guabira,1.8,3.4,3.75,1.571,3.75,4.75,-0.75,1.95,1.85,-1.0,2.0,1.8,2.5,1.75,2.05,2.75,1.9,1.9
8529479,8496,Saint Kitts  Nevis Premier League,1721604600,2024-07-21,20:30,Flow 4G Cayon Rockets,SLH St Pauls Utd,2.5,3.2,2.5,2.5,3.0,2.6,0.0,1.85,1.95,0.0,1.85,1.95,2.5,1.8,2.0,2.5,1.8,2.0
